honey,t2a,t2b,t2c,t2eff,type,value
kottayam,0.15677,0.14848,0.149355,0.151535,field,1
kallingal,0.129722,0.136035,0.136481,0.134079333,field,1
pgt,0.191491,0.193969,0.198223,0.194561,field,1
chass,0.232517,0.239886,0.239582,0.237328333,field,1
baidyanath,0.257057,0.255641,0.253626,0.255441333,adulterated,0
apollo,0.239346,0.240676,0.240705,0.240242333,adulterated,0
patanjali,0.349624,0.353556,0.34219,0.348456667,adulterated,0
zandu,0.297419,0.299232,0.301718,0.299456333,adulterated,0
saffola,0.354736,0.367026,0.372257,0.364673,adulterated,0
dabur,0.278248,0.255898,0.278786,0.270977333,adulterated,0
lion,0.27066,0.284961,0.285294,0.280305,adulterated,0
2nd harvest - kallingal,0.150363,0.149672,0.152775,0.150936667,field,1
3rd harvest - kallingal,0.161428,0.162611,0.162719,0.162252667,field,1
last harvest - kallingal,0.159262,0.160801,0.162114,0.160725667,field,1
sucrose,0.563827,0.568911,0.559008,0.563915333,adulterated,0
sugar,0.5779162,0.563652,0.574672,0.572080067,adulterated,0
baidyanth(25%)+sucrose(75%),0.39023,0.3854,0.386243,0.387291,adulterated,0
baidyanath(50%)+sucrose(50%),0.336096,0.346544,0.340407,0.341015667,adulterated,0
kallingal(25%)+sugar(75%),0.272127,0.276097,0.275902,0.274708667,adulterated,0
kallingal(50%)+sugar(50%),0.20675,0.207357,0.207137,0.207081333,adulterated,0
